id,region,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color,price
0,nashville,-3.7248384065240807,bmw,excellent,6 cylinders,gas,-0.028361416538079876,manual,rwd,mid-size,convertible,orange,27587
1,state college,0.32664691722191025,toyota,fair,8 cylinders,gas,0.9336133269351351,automatic,rwd,full-size,sedan,silver,4724
2,wichita,-0.6229199555310564,ford,good,6 cylinders,gas,0.6031025458501033,automatic,fwd,full-size,SUV,silver,10931
3,albany,0.3899513754054414,ford,excellent,4 cylinders,gas,-0.21487190028758876,manual,fwd,mid-size,SUV,blue,16553
4,redding,-0.1797887482463386,ford,excellent,6 cylinders,gas,0.46887587132575137,manual,fwd,mid-size,sedan,red,5158
5,florence / muscle shoals,0.32664691722191025,nissan,good,4 cylinders,gas,0.2770220228559483,automatic,4wd,full-size,SUV,black,7941
6,oregon coast,0.3899513754054414,volkswagen,excellent,6 cylinders,gas,0.24144468307272374,automatic,fwd,mid-size,sedan,blue,5860
7,medford-ashland,-0.11648429006280749,bmw,good,6 cylinders,gas,0.709361102503042,manual,fwd,mid-size,coupe,red,2799
8,richmond,0.32664691722191025,bmw,excellent,6 cylinders,gas,0.1748724460353877,manual,fwd,full-size,sedan,black,6036
9,buffalo,0.26334245903837916,volkswagen,good,4 cylinders,gas,0.5663584587070677,automatic,fwd,mid-size,sedan,orange,7341
10,billings,0.20003800085484805,bmw,excellent,6 cylinders,other,-0.25322237872311787,manual,4wd,full-size,SUV,black,10880
11,bakersfield,0.13673354267131696,ford,excellent,6 cylinders,gas,-0.36041095138750023,automatic,fwd,mid-size,sedan,blue,5757
12,central NJ,0.6431692081395658,ford,excellent,4 cylinders,gas,-1.0342329157514332,automatic,fwd,mid-size,coupe,silver,11039
13,albany,0.13673354267131696,lexus,excellent,6 cylinders,gas,-0.5899558123938088,automatic,fwd,mid-size,other,white,8760
14,worcester / central MA,-0.1797887482463386,ford,excellent,6 cylinders,gas,-0.15034569847542867,automatic,fwd,mid-size,SUV,black,17244
15,eau claire,-0.5596154973475252,nissan,excellent,6 cylinders,gas,-1.0542028959244314,automatic,4wd,full-size,mini-van,black,3389
16,wichita,-0.11648429006280749,buick,excellent,other,gas,0.6076680789971901,automatic,fwd,full-size,sedan,silver,3963
17,greenville / upstate,0.26334245903837916,ford,like new,4 cylinders,other,0.21416984986438667,automatic,4wd,full-size,SUV,black,36783
18,yakima,-0.8128333300816497,volkswagen,fair,6 cylinders,other,1.290164556340588,automatic,fwd,mid-size,sedan,white,3289
19,wichita,0.32664691722191025,subaru,excellent,4 cylinders,gas,0.1367417895661998,manual,4wd,mid-size,SUV,silver,27556
20,"washington, DC",-0.7495288718981186,ram,fair,8 cylinders,gas,1.0339874186429396,automatic,4wd,full-size,pickup,red,4688
21,palm springs,0.010124626304254735,ford,good,4 cylinders,gas,0.7708436155504775,manual,fwd,mid-size,sedan,red,3907
22,cincinnati,0.3899513754054414,ford,excellent,6 cylinders,gas,-0.5670943278943222,automatic,fwd,full-size,SUV,white,20237
23,rockford,0.5165602917725036,ford,excellent,6 cylinders,diesel,0.5200943894832548,manual,4wd,full-size,pickup,white,37763
24,rochester,0.4532558335889725,ford,like new,4 cylinders,gas,0.7572484724013746,automatic,fwd,full-size,SUV,red,7271
25,lancaster,0.26334245903837916,bmw,excellent,6 cylinders,gas,0.6551158049628403,automatic,4wd,mid-size,SUV,blue,11945
26,redding,0.26334245903837916,toyota,excellent,4 cylinders,gas,0.23955083228578403,manual,fwd,mid-size,sedan,black,9235
27,fort wayne,0.26334245903837916,dodge,like new,4 cylinders,gas,-1.818033500814079,automatic,fwd,mid-size,sedan,white,15940
28,toledo,-0.05317983187927637,dodge,excellent,6 cylinders,gas,0.7069430608732886,automatic,4wd,full-size,truck,black,16337
29,wilmington,-0.1797887482463386,ford,excellent,8 cylinders,gas,1.5714521263472137,automatic,rwd,full-size,truck,black,7264
30,"washington, DC",0.5165602917725036,ford,good,4 cylinders,gas,-0.4842552653477362,automatic,fwd,sub-compact,coupe,blue,31696
31,huntsville / decatur,-0.11648429006280749,bmw,excellent,6 cylinders,gas,-0.20205458871169324,automatic,rwd,mid-size,sedan,black,14750
32,wilmington,-0.3063976646134008,toyota,fair,4 cylinders,gas,0.5696050600561072,automatic,fwd,full-size,sedan,red,1406
33,orlando,0.07342908448778585,volkswagen,good,4 cylinders,other,-0.17178679488471038,automatic,fwd,full-size,sedan,black,6063
34,sarasota-bradenton,-1.002746704632243,chevrolet,good,8 cylinders,gas,-0.8859714541452959,manual,rwd,full-size,truck,black,8432
35,las cruces,0.32664691722191025,toyota,good,4 cylinders,gas,-1.6153914666115303,automatic,fwd,full-size,SUV,blue,8403
36,mohave county,0.26334245903837916,ford,excellent,4 cylinders,gas,-0.18336972157268985,automatic,fwd,mid-size,sedan,blue,16079
37,tulsa,-0.11648429006280749,ram,excellent,6 cylinders,diesel,0.4104539564250666,manual,4wd,full-size,pickup,silver,23375
38,indianapolis,0.4532558335889725,chevrolet,good,8 cylinders,other,-0.35403611436360494,automatic,4wd,full-size,truck,white,6655
39,fresno / madera,0.26334245903837916,volkswagen,fair,6 cylinders,gas,0.6024261705690533,manual,fwd,compact,sedan,blue,7142
40,norfolk / hampton roads,0.32664691722191025,ford,good,4 cylinders,gas,0.9717608927863493,automatic,fwd,full-size,sedan,black,6411
41,duluth / superior,0.4532558335889725,bmw,excellent,6 cylinders,gas,-1.029295376199769,manual,4wd,full-size,SUV,black,20514
42,san antonio,-1.2559645373663675,ford,fair,8 cylinders,gas,0.5154781281900892,manual,4wd,full-size,pickup,green,6205
43,western massachusetts,0.32664691722191025,ford,excellent,6 cylinders,gas,-0.2236140507951587,automatic,rwd,full-size,truck,black,17873
45,flagstaff / sedona,0.32664691722191025,chevrolet,excellent,8 cylinders,gas,-1.0127918193421515,automatic,4wd,full-size,truck,black,46743
46,"washington, DC",-0.2430932064298697,ford,fair,8 cylinders,diesel,0.5698417914044747,automatic,rwd,full-size,truck,orange,1027
47,"washington, DC",0.3899513754054414,honda,excellent,4 cylinders,gas,1.4948018976222341,automatic,fwd,mid-size,sedan,black,11054
48,colorado springs,0.26334245903837916,nissan,like new,4 cylinders,gas,0.1349493950714176,automatic,fwd,compact,sedan,silver,8435
49,dayton / springfield,0.07342908448778585,bmw,excellent,6 cylinders,gas,-1.125120844142513,automatic,fwd,mid-size,SUV,silver,19194
50,delaware,0.4532558335889725,hyundai,good,4 cylinders,gas,-0.23771647540504903,manual,fwd,mid-size,coupe,black,8657
51,central NJ,-0.433006580980463,honda,good,4 cylinders,gas,0.9519430970515873,automatic,fwd,full-size,van,black,10228
52,las vegas,0.32664691722191025,bmw,excellent,6 cylinders,gas,-0.2629621827702364,automatic,fwd,mid-size,coupe,black,16321
53,las vegas,-0.11648429006280749,bmw,excellent,4 cylinders,gas,0.3274627094402443,automatic,fwd,full-size,sedan,black,4486
54,central NJ,-0.5596154973475252,chrysler,good,6 cylinders,gas,1.2622978947613321,manual,fwd,mid-size,coupe,black,5293
55,greenville / upstate,-0.7495288718981186,ford,good,8 cylinders,diesel,-0.4094143404995652,automatic,4wd,full-size,truck,white,23954
56,eastern panhandle,0.4532558335889725,toyota,excellent,4 cylinders,gas,3.582265108762477,automatic,fwd,mid-size,sedan,black,6234
57,nashville,0.5165602917725036,ford,excellent,6 cylinders,gas,0.28297412532918736,automatic,4wd,full-size,SUV,black,8938
58,eau claire,0.20003800085484805,gmc,excellent,8 cylinders,diesel,-0.32273684823302096,automatic,4wd,full-size,SUV,black,13755
59,santa maria,-1.2559645373663675,chevrolet,good,6 cylinders,gas,0.30854111095287345,manual,fwd,full-size,SUV,blue,3718
60,norfolk / hampton roads,-2.3321403264863965,ford,good,8 cylinders,gas,-0.767605779961564,automatic,rwd,full-size,truck,white,19077
61,detroit metro,-0.3063976646134008,mazda,fair,4 cylinders,gas,1.9071202689502509,manual,fwd,compact,sedan,black,4364
62,knoxville,-0.8761377882651807,bmw,excellent,8 cylinders,gas,-0.8380502654829107,automatic,rwd,full-size,sedan,white,16145
63,richmond,0.4532558335889725,audi,excellent,4 cylinders,gas,0.5784148480917821,automatic,fwd,mid-size,sedan,silver,9561
64,detroit metro,-0.6229199555310564,ford,fair,8 cylinders,gas,1.2739484589774166,automatic,rwd,full-size,sedan,brown,6507
65,rhode island,0.07342908448778585,buick,excellent,4 cylinders,gas,-0.6780875115146102,automatic,4wd,mid-size,SUV,green,8359
66,harrisonburg,-0.05317983187927637,ford,fair,4 cylinders,other,3.5618216658927437,automatic,fwd,mid-size,SUV,silver,6207
67,"washington, DC",0.010124626304254735,ram,excellent,6 cylinders,diesel,-0.08260671407828156,other,fwd,full-size,truck,red,8216
68,reading,0.32664691722191025,lincoln,excellent,4 cylinders,gas,0.8418968388247692,automatic,fwd,full-size,sedan,blue,9778
69,colorado springs,-0.5596154973475252,chevrolet,good,8 cylinders,gas,0.7416749315552008,automatic,4wd,full-size,SUV,black,13087
70,rockford,0.5165602917725036,subaru,excellent,4 cylinders,gas,0.03227562740804332,automatic,fwd,mid-size,SUV,blue,26359
71,northern michigan,0.32664691722191025,ford,good,10 cylinders,gas,0.5661893648868052,automatic,rwd,full-size,truck,black,11384
72,bend,-0.36970212279693193,honda,good,4 cylinders,gas,1.3805959314169591,automatic,fwd,compact,hatchback,blue,4081
73,pueblo,0.32664691722191025,kia,excellent,4 cylinders,gas,0.3442199070282555,automatic,fwd,compact,hatchback,silver,7564
74,houston,-1.1926600791828363,jeep,excellent,8 cylinders,gas,-0.1259623695935799,manual,4wd,full-size,SUV,white,7366
75,albany,0.26334245903837916,ford,good,8 cylinders,gas,0.16640084564023777,automatic,4wd,full-size,pickup,blue,17869
76,killeen / temple / ft hood,0.5165602917725036,jeep,like new,6 cylinders,gas,-0.9328273517400274,automatic,4wd,mid-size,SUV,blue,39321
77,stockton,0.010124626304254735,bmw,excellent,4 cylinders,gas,0.08518508376817147,automatic,fwd,full-size,sedan,black,5114
78,cleveland,0.26334245903837916,bmw,excellent,6 cylinders,gas,-0.03145583344888315,automatic,rwd,mid-size,coupe,black,12874
79,south jersey,0.5165602917725036,bmw,excellent,6 cylinders,gas,-0.2408108923158523,automatic,fwd,mid-size,sedan,blue,36691
80,salt lake city,0.13673354267131696,buick,excellent,6 cylinders,gas,0.2514212184682097,automatic,fwd,mid-size,SUV,white,5172
81,des moines,0.3899513754054414,chevrolet,excellent,4 cylinders,gas,-0.07538640795307391,automatic,fwd,mid-size,sedan,black,17022
82,rhode island,0.20003800085484805,toyota,fair,4 cylinders,gas,1.2077313189626318,automatic,fwd,mid-size,SUV,blue,2154
83,rochester,0.26334245903837916,ram,excellent,8 cylinders,gas,0.3000695105577235,automatic,4wd,full-size,truck,silver,25896
84,atlanta,-0.3063976646134008,ford,good,4 cylinders,gas,0.4896236830719569,automatic,fwd,full-size,coupe,black,5850
85,rochester,0.26334245903837916,dodge,like new,6 cylinders,gas,-0.4805859294480405,automatic,4wd,mid-size,SUV,white,14905
86,syracuse,-0.8128333300816497,ram,good,8 cylinders,diesel,0.8535812218049061,automatic,4wd,full-size,truck,white,7577
87,wilmington,-0.3063976646134008,ford,fair,6 cylinders,gas,0.49877165874815677,automatic,4wd,full-size,SUV,silver,11059
88,baltimore,0.26334245903837916,lexus,excellent,6 cylinders,gas,1.0797611157879914,automatic,fwd,mid-size,SUV,silver,3492
89,sarasota-bradenton,-0.6862244137145874,mercedes-benz,fair,12 cylinders,gas,0.48395904009316404,automatic,rwd,compact,coupe,red,16507
90,"kansas city, MO",0.26334245903837916,dodge,excellent,6 cylinders,gas,-0.13184683453871401,automatic,fwd,mid-size,sedan,blue,8886
91,columbus,0.07342908448778585,toyota,good,4 cylinders,gas,1.8777148536066066,automatic,fwd,mid-size,wagon,green,7572
92,central NJ,-0.1797887482463386,honda,excellent,4 cylinders,gas,0.07598637994589287,manual,fwd,compact,sedan,blue,3098
93,boston,-0.11648429006280749,hyundai,good,4 cylinders,gas,1.7419832440819187,manual,fwd,full-size,sedan,silver,2276
94,albany,-0.05317983187927637,ford,excellent,8 cylinders,gas,0.519840748752861,automatic,rwd,full-size,truck,brown,5740
95,orange county,0.5165602917725036,ford,good,6 cylinders,gas,-1.333038605537251,automatic,rwd,full-size,van,white,30566
96,santa maria,0.13673354267131696,ram,excellent,6 cylinders,gas,-0.4759865775369012,automatic,4wd,full-size,pickup,black,24123
97,prescott,0.5165602917725036,bmw,like new,4 cylinders,gas,-0.5256832513120424,manual,fwd,compact,convertible,red,7817
98,"washington, DC",-0.433006580980463,ford,fair,6 cylinders,gas,0.9583179340754826,automatic,fwd,full-size,SUV,silver,3063
99,bowling green,-0.11648429006280749,ford,excellent,4 cylinders,gas,-0.13353777274133874,manual,rwd,full-size,van,red,5836
100,jacksonville,0.20003800085484805,bmw,excellent,6 cylinders,gas,-0.13614181757338084,automatic,4wd,mid-size,SUV,red,8563
101,tucson,0.07342908448778585,toyota,fair,6 cylinders,gas,1.7511312197581186,automatic,fwd,full-size,SUV,green,7426
102,greensboro,0.32664691722191025,ford,excellent,8 cylinders,gas,-1.0743081511536394,automatic,4wd,mid-size,SUV,blue,42154
103,san diego,0.7064736663230969,nissan,excellent,4 cylinders,gas,0.36811286383134306,automatic,fwd,full-size,SUV,black,10601
104,tucson,0.13673354267131696,ford,excellent,4 cylinders,gas,-1.5535707659235698,automatic,4wd,mid-size,SUV,black,21529
105,baltimore,0.4532558335889725,jeep,fair,6 cylinders,gas,0.3651368125947235,automatic,fwd,full-size,SUV,white,4440
106,detroit metro,0.32664691722191025,honda,excellent,6 cylinders,gas,-1.499054918270948,automatic,fwd,full-size,sedan,black,10979
107,corpus christi,-0.8128333300816497,ford,good,8 cylinders,gas,-0.023220964402100665,manual,fwd,mid-size,coupe,blue,5852
108,chicago,0.13673354267131696,bmw,excellent,6 cylinders,gas,0.6972201662081964,manual,4wd,compact,SUV,silver,8725
109,charlotte,-1.1293556209993052,ram,fair,8 cylinders,gas,0.31503431365095247,automatic,fwd,full-size,pickup,blue,5284
110,central NJ,-0.6862244137145874,ford,good,8 cylinders,gas,-0.4069624801057593,manual,rwd,full-size,coupe,white,23657
111,central NJ,0.20003800085484805,chevrolet,good,8 cylinders,gas,-0.6001014416095573,manual,rwd,mid-size,sedan,white,8386
112,anchorage / mat-su,-0.36970212279693193,ford,good,8 cylinders,diesel,2.1452720054079193,automatic,4wd,full-size,truck,silver,13881
113,st cloud,-0.6229199555310564,toyota,good,6 cylinders,gas,1.6501145715333165,automatic,fwd,mid-size,SUV,silver,2336
114,tulsa,0.3899513754054414,ford,excellent,6 cylinders,diesel,-0.15012587650908746,manual,4wd,full-size,pickup,black,18710
115,rhode island,0.26334245903837916,toyota,excellent,6 cylinders,gas,-0.5826678687404961,automatic,fwd,compact,sedan,white,7294
116,rhode island,0.13673354267131696,gmc,excellent,6 cylinders,gas,0.5129755396502046,automatic,4wd,full-size,SUV,silver,8935
117,madison,0.3899513754054414,honda,good,4 cylinders,gas,0.5645660642122855,automatic,fwd,mid-size,SUV,blue,11467
118,indianapolis,0.20003800085484805,bmw,excellent,6 cylinders,gas,0.10070789646826658,automatic,4wd,full-size,SUV,blue,14478
119,boise,-0.1797887482463386,chevrolet,excellent,6 cylinders,gas,0.3254335835970946,automatic,4wd,mid-size,pickup,silver,8120
120,long island,-0.05317983187927637,chevrolet,excellent,4 cylinders,gas,-1.350590544080496,automatic,4wd,full-size,SUV,black,25010
121,baltimore,-0.2430932064298697,ford,like new,8 cylinders,other,1.6546293765343245,automatic,fwd,full-size,van,grey,1533
122,bakersfield,0.32664691722191025,mitsubishi,excellent,4 cylinders,gas,0.584772775733651,other,fwd,full-size,SUV,green,3247
